Seleção;Orçado;Atualizado;Empenhado;Liquidado
Ano: 2009;27.506.290.062,00;28.306.761.086,12;25.059.903.110,17;23.590.782.046,65
*Orgão: Autarquia Hospitalar Municipal;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
**Unidade: Autarquia Hospitalar Municipal;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
***Função: Saúde;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
****Sub-Função: Administração Geral;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
*****Programa: Suporte Administrativo;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
******Projeto/Atividade: Coordenação e Administração Geral;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
*******Elemento Econômico: Auxílio-Alimentação;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
********Categoria da Despesa: Despesas Correntes;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
*********Modalidade da Despesa: Aplicações Diretas;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
**********Fonte: Recursos Próprios;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
*******Elemento Econômico: Auxílio-Transporte;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
********Categoria da Despesa: Despesas Correntes;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
*********Modalidade da Despesa: Aplicações Diretas;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
**********Fonte: Recursos Próprios;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
*******Elemento Econômico: Despesas de Exercícios Anteriores;0,00;409.552,94;409.552,94;409.552,94
********Categoria da Despesa: Despesas Correntes;0,00;409.552,94;409.552,94;409.552,94
*********Modalidade da Despesa: Aplicações Diretas;0,00;409.552,94;409.552,94;409.552,94
**********Fonte: Recursos Próprios;0,00;409.552,94;409.552,94;409.552,94
*******Elemento Econômico: Diárias - Civil;35.000,00;35.000,00;35.000,00;35.000,00
********Categoria da Despesa: Despesas Correntes;35.000,00;35.000,00;35.000,00;35.000,00
*********Modalidade da Despesa: Aplicações Diretas;35.000,00;35.000,00;35.000,00;35.000,00
**********Fonte: Recursos Próprios;35.000,00;35.000,00;35.000,00;35.000,00
*******Elemento Econômico: Equipamentos e Material Permanente;610.000,00;606.440,00;26.961,55;20.061,55
********Categoria da Despesa: Despesas de Capital;610.000,00;606.440,00;26.961,55;20.061,55
*********Modalidade da Despesa: Aplicações Diretas;610.000,00;606.440,00;26.961,55;20.061,55
**********Fonte: Recursos Próprios;110.000,00;106.440,00;20.061,55;20.061,55
**********Fonte: Recursos Próprios da Adm. Indireta;500.000,00;500.000,00;6.900,00;0,00
*******Elemento Econômico: Indenizações Trabalhistas;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
********Categoria da Despesa: Despesas Correntes;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
*********Modalidade da Despesa: Aplicações Diretas;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
**********Fonte: Recursos Próprios;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
*******Elemento Econômico: Locação de Mão-de-Obra;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Recursos Próprios;100.000,00;100.000,00;0,00;0,00
*******Elemento Econômico: Material de Consumo;1.225.100,00;963.636,03;263.636,03;38.226,50
********Categoria da Despesa: Despesas Correntes;1.225.100,00;963.636,03;263.636,03;38.226,50
*********Modalidade da Despesa: Aplicações Diretas;1.225.100,00;963.636,03;263.636,03;38.226,50
**********Fonte: Recursos Próprios;1.225.100,00;963.636,03;263.636,03;38.226,50
*******Elemento Econômico: Obrigações Patronais;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
********Categoria da Despesa: Despesas Correntes;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
*********Modalidade da Despesa: Aplicações Diretas;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
**********Fonte: Recursos Próprios;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
*******Elemento Econômico: Obrigações Patronais - RPPS;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
********Categoria da Despesa: Despesas Correntes;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Órgãos,Fundos e Ent.Int.Orç.Fiscal e Seg.Social;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
**********Fonte: Recursos Próprios;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
*******Elemento Econômico: Obrigações Tributárias e Contributivas;100.000,00;41.473,52;41.473,52;26.666,34
********Categoria da Despesa: Despesas Correntes;100.000,00;41.473,52;41.473,52;26.666,34
*********Modalidade da Despesa: Aplicações Diretas;100.000,00;41.473,52;41.473,52;26.666,34
**********Fonte: Recursos Próprios;100.000,00;41.473,52;41.473,52;26.666,34
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Física;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
********Categoria da Despesa: Despesas Correntes;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
*********Modalidade da Despesa: Aplicações Diretas;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
**********Fonte: Recursos Próprios;7.700.000,00;6.684.271,55;5.264.271,55;5.206.984,58
*******Elemento Econômico: Outros Serviços de Terceiros - Pessoa Jurídica;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
********Categoria da Despesa: Despesas Correntes;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
*********Modalidade da Despesa: Aplicações Diretas;28.333.302,00;28.259.971,00;22.233.077,73;20.986.839,72
**********Fonte: Recursos Próprios;27.332.301,00;27.258.970,00;21.748.100,00;20.544.885,23
**********Fonte: Transferências Federais;1.001.001,00;1.001.001,00;484.977,73;441.954,49
*******Elemento Econômico: Passagens e Despesas com Locomoção;40.000,00;18.048,38;18.048,38;17.726,31
********Categoria da Despesa: Despesas Correntes;40.000,00;18.048,38;18.048,38;17.726,31
*********Modalidade da Despesa: Aplicações Diretas;40.000,00;18.048,38;18.048,38;17.726,31
**********Fonte: Recursos Próprios;40.000,00;18.048,38;18.048,38;17.726,31
*******Elemento Econômico: Sentenças Judiciais;500.000,00;600.000,00;545.000,00;544.388,97
********Categoria da Despesa: Despesas Correntes;500.000,00;600.000,00;545.000,00;544.388,97
*********Modalidade da Despesa: Aplicações Diretas;500.000,00;600.000,00;545.000,00;544.388,97
**********Fonte: Recursos Próprios;500.000,00;600.000,00;545.000,00;544.388,97
*******Elemento Econômico: Vencimentos e Vantagens Fixas - Pessoal Civil;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
********Categoria da Despesa: Despesas Correntes;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
*********Modalidade da Despesa: Aplicações Diretas;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
**********Fonte: Recursos Próprios;235.124.210,00;255.324.210,00;253.344.210,00;252.855.067,48
****Sub-Função: Assistência Hospitalar e Ambulatorial;232.465.060,00;237.549.021,52;211.066.052,64;153.644.724,26
*****Programa: Integralidade da Atenção;232.465.060,00;237.549.021,52;211.066.052,64;153.644.724,26
******Projeto/Atividade: Oper./Manut. Unidades Hospitalares, Pronto Socorros e  Pronto Atendimento;232.305.060,00;237.389.021,52;211.048.781,39;153.635.829,41
*******Elemento Econômico: Despesas de Exercícios Anteriores;0,00;520.250,93;520.250,93;0,00
********Categoria da Despesa: Despesas Correntes;0,00;520.250,93;520.250,93;0,00
*********Modalidade da Despesa: Aplicações Diretas;0,00;520.250,93;520.250,93;0,00
**********Fonte: Recursos Próprios;0,00;520.250,93;520.250,93;0,00
*******Elemento Econômico: Equipamentos e Material Permanente;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
********Categoria da Despesa: Despesas de Capital;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
*********Modalidade da Despesa: Aplicações Diretas;1.565.000,00;3.376.497,44;1.834.538,69;362.352,45
**********Fonte: Recursos Próprios;1.500.000,00;3.311.497,44;1.799.352,45;362.352,45
