Selecao;Orcado;Atualizado;Empenhado;Liquidado
Ano: 2009;27.506.290.062,00;28.306.761.086,12;25.059.903.110,17;23.590.782.046,65
*Orgao: Autarquia Hospitalar Municipal;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
**Unidade: Autarquia Hospitalar Municipal;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
***Funcao: Saude;645.032.672,00;647.282.072,00;609.647.731,40;547.005.630,22
****Sub-Funcao: Administracao Geral;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
*****Programa: Suporte Administrativo;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
******Projeto/Atividade: Coordenacao e Administracao Geral;412.567.612,00;409.733.050,48;398.581.678,76;393.360.905,96
*******Elemento Economico: Auxilio-Alimentacao;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
********Categoria da Despesa: Despesas Correntes;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
*********Modalidade da Despesa: Aplicacoes Diretas;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
**********Fonte: Recursos Proprios;55.000.000,00;40.750.000,00;40.750.000,00;40.126.893,80
*******Elemento Economico: Auxilio-Transporte;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
********Categoria da Despesa: Despesas Correntes;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
*********Modalidade da Despesa: Aplicacoes Diretas;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
**********Fonte: Recursos Proprios;6.200.000,00;4.400.000,00;4.400.000,00;3.982.930,15
*******Elemento Economico: Despesas de Exercicios Anteriores;0,00;409.552,94;409.552,94;409.552,94
********Categoria da Despesa: Despesas Correntes;0,00;409.552,94;409.552,94;409.552,94
*********Modalidade da Despesa: Aplicacoes Diretas;0,00;409.552,94;409.552,94;409.552,94
**********Fonte: Recursos Proprios;0,00;409.552,94;409.552,94;409.552,94
*******Elemento Economico: Diarias - Civil;35.000,00;35.000,00;35.000,00;35.000,00
********Categoria da Despesa: Despesas Correntes;35.000,00;35.000,00;35.000,00;35.000,00
*********Modalidade da Despesa: Aplicacoes Diretas;35.000,00;35.000,00;35.000,00;35.000,00
**********Fonte: Recursos Proprios;35.000,00;35.000,00;35.000,00;35.000,00
*******Elemento Economico: Equipamentos e Material Permanente;610.000,00;606.440,00;26.961,55;20.061,55
********Categoria da Despesa: Despesas de Capital;610.000,00;606.440,00;26.961,55;20.061,55
*********Modalidade da Despesa: Aplicacoes Diretas;610.000,00;606.440,00;26.961,55;20.061,55
**********Fonte: Recursos Proprios;110.000,00;106.440,00;20.061,55;20.061,55
**********Fonte: Recursos Proprios da Adm. Indireta;500.000,00;500.000,00;6.900,00;0,00
*******Elemento Economico: Indenizacoes Trabalhistas;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
********Categoria da Despesa: Despesas Correntes;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
*********Modalidade da Despesa: Aplicacoes Diretas;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
**********Fonte: Recursos Proprios;3.500.000,00;4.250.000,00;3.960.000,00;3.955.681,70
*******Elemento Economico: Locacao de Mao-de-Obra;100.000,00;100.000,00;0,00;0,00
********Categoria da Despesa: Despesas Correntes;100.000,00;100.000,00;0,00;0,00
*********Modalidade da Despesa: Aplicacoes Diretas;100.000,00;100.000,00;0,00;0,00
**********Fonte: Recursos Proprios;100.000,00;100.000,00;0,00;0,00
*******Elemento Economico: Material de Consumo;1.225.100,00;963.636,03;263.636,03;38.226,50
********Categoria da Despesa: Despesas Correntes;1.225.100,00;963.636,03;263.636,03;38.226,50
*********Modalidade da Despesa: Aplicacoes Diretas;1.225.100,00;963.636,03;263.636,03;38.226,50
**********Fonte: Recursos Proprios;1.225.100,00;963.636,03;263.636,03;38.226,50
*******Elemento Economico: Obrigacoes Patronais;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
********Categoria da Despesa: Despesas Correntes;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
*********Modalidade da Despesa: Aplicacoes Diretas;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
**********Fonte: Recursos Proprios;61.700.000,00;60.240.447,06;60.240.447,06;58.473.247,62
*******Elemento Economico: Obrigacoes Patronais - RPPS;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
********Categoria da Despesa: Despesas Correntes;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
*********Modalidade da Despesa: Apl.Dir.Dec.Op. entre Orgaos,Fundos e Ent.Int.Orc.Fiscal e Seg.Social;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
**********Fonte: Recursos Proprios;12.400.000,00;7.050.000,00;7.050.000,00;6.681.638,30
*******Elemento Economico: Obrigacoes Tributarias e Contributivas;100.000,00;41.473,52;41.473,52;26.666,34
